Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:40:40.812;704202038286701258;-0.21000001;-0.7;1.12
2022-04-25T11:40:40.831;704202038306041613;-0.28;-0.63;1.19
2022-04-25T11:40:40.851;704202038325381968;-0.28;-0.7;1.12
2022-04-25T11:40:40.870;704202038344722323;-0.28;-0.7;1.12
2022-04-25T11:40:40.889;704202038364062678;-0.21000001;-0.7;1.05
2022-04-25T11:40:40.909;704202038383403033;-0.14;-0.77;0.98
2022-04-25T11:40:40.928;704202038402743388;-0.21000001;-0.77;0.98
2022-04-25T11:40:40.947;704202038422083743;-0.28;-0.84000003;1.12
2022-04-25T11:40:40.967;704202038441424098;-0.28;-0.91;1.19
2022-04-25T11:40:40.986;704202038460764453;-0.21000001;-0.98;1.19
2022-04-25T11:40:41.005;704202038480104808;-0.14;-1.12;1.26
2022-04-25T11:40:41.025;704202038499445163;-0.07;-1.19;1.19
2022-04-25T11:40:41.044;704202038518785518;-0.07;-1.4;1.4
2022-04-25T11:40:41.063;704202038538125873;-0.21000001;-1.19;1.33
2022-04-25T11:40:41.083;704202038557466228;-0.21000001;-0.84000003;1.26
2022-04-25T11:40:41.102;704202038576806583;-0.21000001;-0.84000003;1.12
2022-04-25T11:40:41.121;704202038596146938;-0.14;-0.84000003;1.12
2022-04-25T11:40:41.141;704202038615487293;-0.21000001;-0.84000003;1.05
2022-04-25T11:40:41.160;704202038634827648;-0.14;-1.05;1.26
2022-04-25T11:40:41.179;704202038654168003;-0.14;-1.12;1.4
2022-04-25T11:40:41.199;704202038673508358;-0.14;-1.26;1.4
2022-04-25T11:40:41.218;704202038692848713;-0.14;-1.33;1.4
2022-04-25T11:40:41.237;704202038712189068;-0.07;-1.33;1.33
2022-04-25T11:40:41.257;704202038731529423;-0.14;-1.19;1.26
2022-04-25T11:40:41.276;704202038750869778;-0.14;-1.12;1.26
2022-04-25T11:40:41.295;704202038770210133;-0.21000001;-0.98;1.12
2022-04-25T11:40:41.315;704202038789550488;-0.21000001;-0.84000003;1.05
2022-04-25T11:40:41.334;704202038808890843;-0.21000001;-0.7;1.12
2022-04-25T11:40:41.354;704202038828231198;-0.21000001;-0.63;1.12
2022-04-25T11:40:41.373;704202038847571553;-0.21000001;-0.63;1.05
2022-04-25T11:40:41.392;704202038866911908;-0.21000001;-0.7;1.05
2022-04-25T11:40:41.412;704202038886252263;-0.21000001;-0.77;0.98
2022-04-25T11:40:41.431;704202038905592618;-0.21000001;-0.84000003;1.05
2022-04-25T11:40:41.450;704202038924932973;-0.28;-0.77;1.12
2022-04-25T11:40:41.470;704202038944273328;-0.21000001;-0.77;1.12
2022-04-25T11:40:41.489;704202038963613683;-0.21000001;-0.77;1.19
2022-04-25T11:40:41.508;704202038982954038;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:41.528;704202039002294393;-0.14;-0.98;1.26
2022-04-25T11:40:41.547;704202039021634748;-0.14;-0.91;1.33
2022-04-25T11:40:41.566;704202039040975103;-0.14;-0.98;1.26
2022-04-25T11:40:41.586;704202039060315458;-0.07;-1.05;1.19
2022-04-25T11:40:41.605;704202039079655813;-0.07;-1.05;1.26
2022-04-25T11:40:41.624;704202039098996168;-0.14;-0.98;1.26
2022-04-25T11:40:41.644;704202039118336523;-0.14;-0.91;1.26
2022-04-25T11:40:41.663;704202039137676878;-0.21000001;-0.98;1.19
2022-04-25T11:40:41.682;704202039157017233;-0.14;-0.98;1.19
2022-04-25T11:40:41.702;704202039176357588;-0.14;-1.05;1.19
2022-04-25T11:40:41.721;704202039195697943;-0.21000001;-1.12;1.26
2022-04-25T11:40:41.740;704202039215038298;-0.21000001;-0.98;1.19
2022-04-25T11:40:41.760;704202039234378653;-0.28;-0.84000003;1.12
2022-04-25T11:40:41.779;704202039253719008;-0.28;-0.7;1.12
2022-04-25T11:40:41.798;704202039273059363;-0.28;-0.56;1.12
2022-04-25T11:40:41.818;704202039292399718;-0.28;-0.56;1.12
2022-04-25T11:40:41.837;704202039311740073;-0.21000001;-0.7;1.12
2022-04-25T11:40:41.856;704202039331080428;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:41.876;704202039350420783;-0.14;-0.91;1.26
2022-04-25T11:40:41.895;704202039369761138;-0.07;-1.05;1.19
2022-04-25T11:40:41.914;704202039389101493;-0.21000001;-0.84000003;1.12
2022-04-25T11:40:41.934;704202039408441848;-0.28;-0.56;1.26
2022-04-25T11:40:41.953;704202039427782203;-0.28;-0.56;1.26
2022-04-25T11:40:41.972;704202039447122558;-0.21000001;-0.77;1.33
2022-04-25T11:40:41.992;704202039466462913;-0.07;-1.12;1.26
2022-04-25T11:40:42.011;704202039485803268;-0.07;-1.12;1.33
2022-04-25T11:40:42.030;704202039505143623;-0.14;-1.12;1.26
2022-04-25T11:40:42.050;704202039524483978;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:42.069;704202039543824333;-0.21000001;-0.63;1.12
2022-04-25T11:40:42.088;704202039563164688;-0.21000001;-0.77;1.19
2022-04-25T11:40:42.108;704202039582505043;-0.14;-0.98;1.26
2022-04-25T11:40:42.127;704202039601845398;-0.21000001;-0.91;1.33
2022-04-25T11:40:42.146;704202039621185753;-0.21000001;-1.05;1.4
2022-04-25T11:40:42.166;704202039640526108;-0.14;-1.05;1.4
2022-04-25T11:40:42.185;704202039659866463;-0.14;-0.91;1.26
2022-04-25T11:40:42.204;704202039679206818;-0.14;-0.91;1.19
2022-04-25T11:40:42.224;704202039698547173;-0.14;-0.91;1.12
2022-04-25T11:40:42.243;704202039717887528;-0.28;-0.91;1.12
