Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:44:57.549;1076;9;0;1;1;54
2022-04-25T11:44:58.625;1120;10;0;1;1;54
2022-04-25T11:44:59.745;1174;10;0;1;1;54
2022-04-25T11:45:00.919;1094;10;0;1;1;54
2022-04-25T11:45:01.125;1020;8;0;1;1;56
2022-04-25T11:45:02.145;1096;7;0;1;1;56
2022-04-25T11:45:03.241;1155;7;0;1;1;56
2022-04-25T11:45:04.396;1034;8;0;1;1;56
2022-04-25T11:45:06.255;1020;7;0;1;1;54
2022-04-25T11:45:07.275;1267;9;0;1;1;54
2022-04-25T11:45:08.542;1180;13;0;1;1;54
2022-04-25T11:45:09.722;1084;13;0;1;1;54
2022-04-25T11:45:10.806;1032;13;0;1;1;54
2022-04-25T11:45:11.422;1236;11;0;1;1;53
2022-04-25T11:45:12.658;1214;12;0;1;1;53
2022-04-25T11:45:13.872;1115;14;0;1;1;53
2022-04-25T11:45:14.987;1096;14;0;1;1;53
2022-04-25T11:45:16.155;1194;12;0;1;1;52
2022-04-25T11:45:17.349;1155;9;0;1;1;52
2022-04-25T11:45:18.504;1070;9;0;1;1;52
2022-04-25T11:45:19.574;1129;10;0;1;1;52
2022-04-25T11:45:20.703;1206;10;0;1;1;52
2022-04-25T11:45:21.231;1181;8;0;1;1;50
2022-04-25T11:45:22.412;1087;8;0;1;1;50
2022-04-25T11:45:23.499;1131;10;0;1;1;50
2022-04-25T11:45:24.630;1322;12;0;1;1;50
2022-04-25T11:45:26.357;1108;11;0;1;1;51
2022-04-25T11:45:27.465;1032;11;0;1;1;51
2022-04-25T11:45:28.497;1148;12;0;1;1;51
2022-04-25T11:45:29.645;1243;11;0;1;1;51
2022-04-25T11:45:31.274;1146;10;0;1;1;51
2022-04-25T11:45:32.420;1094;9;0;1;1;51
2022-04-25T11:45:33.514;1185;9;0;1;1;51
2022-04-25T11:45:34.699;1165;8;0;1;1;51
2022-04-25T11:45:35.864;1176;9;0;1;1;51
2022-04-25T11:45:36.291;1100;8;0;1;1;52
2022-04-25T11:45:37.391;1160;7;0;1;1;52
2022-04-25T11:45:38.551;1194;8;0;1;1;52
2022-04-25T11:45:39.745;1114;8;0;1;1;52
2022-04-25T11:45:41.387;1134;7;0;1;1;47
2022-04-25T11:45:42.521;1164;7;0;1;1;47
2022-04-25T11:45:43.685;1166;9;0;1;1;47
2022-04-25T11:45:44.851;1354;10;0;1;1;47
2022-04-25T11:45:46.346;1255;8;0;1;1;48
2022-04-25T11:45:47.601;1148;7;0;1;1;48
2022-04-25T11:45:48.749;1255;8;0;1;1;48
2022-04-25T11:45:50.004;1258;9;0;1;1;48
2022-04-25T11:45:51.354;1228;8;0;1;1;50
2022-04-25T11:45:52.582;1146;7;0;1;1;50
2022-04-25T11:45:53.728;1070;9;0;1;1;50
2022-04-25T11:45:54.798;1224;9;0;1;1;50
2022-04-25T11:45:56.416;1312;8;0;1;1;50
2022-04-25T11:45:57.728;1256;8;0;1;1;50
2022-04-25T11:45:58.984;1158;9;0;1;1;50
2022-04-25T11:46:00.142;1151;11;0;1;1;50
2022-04-25T11:46:01.436;1291;9;0;1;1;52
2022-04-25T11:46:02.727;1285;9;0;1;1;52
2022-04-25T11:46:04.012;1253;10;0;1;1;52
2022-04-25T11:46:05.265;1079;11;0;1;1;52
2022-04-25T11:46:06.137;1175;10;0;1;1;68
2022-04-25T11:46:07.312;1297;420;0;1;1;68
2022-04-25T11:46:08.609;1184;8;0;1;1;68
2022-04-25T11:46:09.793;896;11;0;1;1;68
2022-04-25T11:46:10.689;779;14;0;1;1;68
2022-04-25T11:46:11.341;862;12;0;1;1;50
2022-04-25T11:46:12.203;1353;16;0;1;1;50
2022-04-25T11:46:13.556;1394;26;0;1;1;50
2022-04-25T11:46:14.950;1257;27;0;1;1;50
2022-04-25T11:46:16.207;1116;21;0;1;1;50
2022-04-25T11:46:16.429;950;404;0;1;1;44
2022-04-25T11:46:17.379;1272;16;0;1;1;44
2022-04-25T11:46:18.651;1381;22;0;1;1;44
2022-04-25T11:46:21.140;1371;18;0;1;1;49
2022-04-25T11:46:22.511;1323;14;0;1;1;49
2022-04-25T11:46:23.834;1273;14;0;1;1;49
2022-04-25T11:46:25.107;1240;13;0;1;1;49
2022-04-25T11:46:26.264;1188;11;0;1;1;50
2022-04-25T11:46:27.452;1314;9;0;1;1;50
2022-04-25T11:46:28.766;1338;10;0;1;1;50
2022-04-25T11:46:30.104;1275;11;0;1;1;50
2022-04-25T11:46:31.379;993;14;0;1;1;50
2022-04-25T11:46:31.403;866;539;0;1;1;43
2022-04-25T11:46:32.269;1342;15;0;1;1;43
